session_token,attack_type,true_label,hybrid_stage1_rf_prob,hybrid_stage1_rf_pred,hybrid_stage1_lr_prob,hybrid_stage1_lr_pred,hybrid_stage2_prob,hybrid_stage2_pred,hybrid_stage3_pred,fusion_combo
1771401489025-xvnbmzb9e8a,logical,1,1.0,1,0.99235,1,0.996773,1,1,Face + Voice
1770218434339-0208d18knkyy,logical,1,0.72,1,0.570446,1,0.653456,1,1,Face + Voice
1770445663719-yykw6xau3x,logical,1,1.0,1,0.994401,1,0.991136,1,1,Face + Voice
1770028923875-1hygdlyttxt,logical,1,1.0,1,0.864288,1,0.895846,1,1,Face + Voice
1770206737552-7b84if03p6b,logical,1,0.96,1,0.861099,1,0.879872,1,1,Face + Voice
1770445612934-h9m47dgoghs,logical,1,0.99,1,0.478466,0,0.721732,1,1,Face + Voice
1769680362558-n9br5ma9t5p,logical,1,1.0,1,0.970468,1,0.953553,1,1,Face + Voice
1770203841157-kds0yz9v9pc,logical,1,1.0,1,0.936411,1,0.907651,1,1,Face + Voice
1770006660690-9qwgjvmdp8,logical,1,0.84,1,0.82513,1,0.805076,1,1,Face + Voice
1769877768525-icimbs5yvns,replay,1,1.0,1,0.977117,1,0.968776,1,1,Face + Voice
1769857860488-1kaf4vrf1bw,replay,1,1.0,1,0.992032,1,0.988606,1,1,Face + Voice
1769877871713-4m4k67ocdf6,replay,1,0.77,1,0.835367,1,0.73846,1,1,Face + Voice
1769879665020-z2hehrkreh,replay,1,0.97,1,0.986686,1,0.961808,1,1,Face + Voice
1770016503680-7cdim9wd80u,logical,1,1.0,1,0.972324,1,0.96509,1,1,Face + Voice
1770301049346-y55avo4p2vi,logical,1,0.18,0,0.068751,0,0.154174,0,0,Face + Voice
1770445940637-wtibtljxuzm,logical,1,0.97,1,0.592479,1,0.784717,1,1,Face + Voice
1769582224434-2n71gdsz237,replay,1,1.0,1,0.987897,1,0.980274,1,1,Face + Voice
1769865631974-5vswlopqn38,replay,1,1.0,1,0.993634,1,0.995566,1,1,Face + Voice
1770445711837-coy6l2idlit,logical,1,1.0,1,0.957797,1,0.960124,1,1,Face + Voice
1770725471062-pvz0nwke0cp,logical,1,1.0,1,0.950746,1,0.948826,1,1,Face + Voice
1769877835383-f8kvf7lral,replay,1,1.0,1,0.991362,1,0.992766,1,1,Face + Voice
1770008423822-5ek366c1tyi,logical,1,1.0,1,0.926099,1,0.934996,1,1,Face + Voice
1770190438442-qpuieazzqee,logical,1,1.0,1,0.99118,1,0.98295,1,1,Face + Voice
1770445780786-y222a26roh,logical,1,1.0,1,0.992063,1,0.995566,1,1,Face + Voice
1769656704608-ef07jxxzhzn,genuine,0,0.0,0,0.025092,0,0.017467,0,0,Face + Voice
1769877877349-6ubslfaljz6,genuine,0,0.3,0,0.033506,0,0.188707,0,0,Face + Voice
1769878323445-9htttm85m8a,genuine,0,0.27,0,0.075589,0,0.191178,0,0,Face + Voice
1770003685383-va6cgq2e3pc,genuine,0,0.96,1,0.702473,1,0.817343,1,1,Face + Voice
1769661288326-qjv26yfs9b,genuine,0,0.25,0,0.181677,0,0.265504,0,0,Face + Voice
1769877763904-77llgv23pb,genuine,0,0.02,0,0.142633,0,0.097694,0,0,Face + Voice
1769877865550-cngi8444j34,genuine,0,0.0,0,0.02528,0,0.025677,0,0,Face + Voice
1769878150519-bs6gvzikgww,replay,1,1.0,1,0.926517,1,0.939159,1,1,Face + Voice
1770259504525-yq212ny4ozl,tts,1,0.97,1,0.62544,1,0.794308,1,1,Face + Voice
1770445658387-z0i6uvj0r2h,tts,1,1.0,1,0.984019,1,0.972961,1,1,Face + Voice
1770091464869-c2tvb9pzrw,tts,1,1.0,1,0.993007,1,0.984605,1,1,Face + Voice
1769879131222-u883itot1y,tts,1,1.0,1,0.99384,1,0.988313,1,1,Face + Voice
1770445694876-9ahtrz67nb5,tts,1,1.0,1,0.987213,1,0.979036,1,1,Face + Voice
1770007156022-abb32n6ywev,replay,1,1.0,1,0.990326,1,0.99045,1,1,Face + Voice
1770090868504-sllnnomys4a,tts,1,0.9,1,0.90707,1,0.844651,1,1,Face + Voice
1769877858353-02ci21rj98ul,tts,1,1.0,1,0.920695,1,0.899847,1,1,Face + Voice
1770102907751-5ua5kyxye1,tts,1,0.97,1,0.880788,1,0.859948,1,1,Face + Voice
1770445800354-dydxxootb0g,tts,1,0.75,1,0.505798,1,0.646881,1,1,Face + Voice
1769879150923-hkfhersf7f4,replay,1,0.72,1,0.284945,0,0.554019,1,1,Face + Voice
1769715316109-lepldmgac6,tts,1,1.0,1,0.984696,1,0.982065,1,1,Face + Voice
1770088231254-ksqawp9z6n,tts,1,0.99,1,0.929028,1,0.901067,1,1,Face + Voice
1769877786806-vedpgl0db5r,tts,1,1.0,1,0.971118,1,0.964427,1,1,Face + Voice
1769877447533-dk8kd071f4e,tts,1,1.0,1,0.929799,1,0.94192,1,1,Face + Voice
